,CensusTract,price,sqrtft,bed,bath,type,lng,lat,x,y,geoid,field_1,pop2010,UrbanType,hpi2score,economic,education,housing,healthcareaccess,neighborhood,pollution,transportation,social,insured,uncrowded,homeownership,automobile,commute,inpreschool,inhighschool,bachelorsed,employed,abovepoverty,income,retail,parkaccess,treecanopy,alcoffsale,voting,ownsevere,rentsevere,houserepair,twoparents,supermkts,ozone,pm25,dieselpm,h20contam,LEB,white_pct,asian_pct
78,6073002904,1400,550,1,1,apartment,-117.057524,32.767398,0.265806,0.235508,14000US06073002904,731,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
79,6073002904,1400,550,1,1,house,-117.057524,32.767398,0.265806,0.235508,14000US06073002904,734,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
80,6073002904,1437,500,1,1,apartment,-117.055139,32.76857,0.268191,0.23668,14000US06073002904,920,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
81,6073002905,1850,1150,2,2,apartment,-117.051132,32.766053,0.272198,0.234163,14000US06073002905,918,4022,urban_area,0.379853862,-0.289802049,-0.281436485,-0.119380867,-0.544767962,-0.261427599,0.292858744,-0.159219218,-0.073538673,72.8,95.3,35.5,89.8,9.043062201,18.8,100,30.6,66.3,62.47374562,51618,1.254653669,81.60119,3.5316671,21.00944804,67.80411852,19.1011236,28.35820896,100,74.40758294,52.60423787,0.042298794,10.79,15.55,321.3831376,78.88021813,52.5389643,9.30115636
82,6073003202,1896,618,1,1,apartment,-117.065172,32.662783,0.258158,0.130893,14000US06073003202,214,4551,urban_area,0.383258155,-0.466356611,-0.096936723,-0.283773725,0.06523549,-0.449354291,0.237187104,0.020566587,0.318120427,80.2,89.3,72.5,96.7,3.892060197,50.7,100,17.5,66.1,53.37472461,49779,0.19703542,66.77653,2.201321,54.03208086,67.95305994,19.48717949,33.92405063,97.09090909,84.36815194,9.345766491,0.04012721,11.21,20.06,321.6949633,80.9494208,15.14052584,10.17679057
83,6073003207,1585,733,1,1,house,-117.027084,32.680847,0.296246,0.148957,14000US06073003207,206,5890,urban_area,0.383657129,0.393455825,0.054287266,0.1527384,-0.388145454,0.046002055,0.378640678,-0.122128352,0.649956978,74.7,94.5,55.8,95.3,2.448579824,45,100,31.2,73.9,76.4185479,67230,0.105718497,100,4.9399748,77.62308998,78.67577078,23.84341637,12.98701299,99.54022989,80.19017433,25.58453971,0.04012721,11.63,9.467102784,298.1807423,83.74191418,35.8828596,10.66322136
84,6073003207,1932,1024,2,2,house,-117.027084,32.680847,0.296246,0.148957,14000US06073003207,208,5890,urban_area,0.383657129,0.393455825,0.054287266,0.1527384,-0.388145454,0.046002055,0.378640678,-0.122128352,0.649956978,74.7,94.5,55.8,95.3,2.448579824,45,100,31.2,73.9,76.4185479,67230,0.105718497,100,4.9399748,77.62308998,78.67577078,23.84341637,12.98701299,99.54022989,80.19017433,25.58453971,0.04012721,11.63,9.467102784,298.1807423,83.74191418,35.8828596,10.66322136
85,6073003207,1670,733,1,1,house,-117.027084,32.680847,0.296246,0.148957,14000US06073003207,210,5890,urban_area,0.383657129,0.393455825,0.054287266,0.1527384,-0.388145454,0.046002055,0.378640678,-0.122128352,0.649956978,74.7,94.5,55.8,95.3,2.448579824,45,100,31.2,73.9,76.4185479,67230,0.105718497,100,4.9399748,77.62308998,78.67577078,23.84341637,12.98701299,99.54022989,80.19017433,25.58453971,0.04012721,11.63,9.467102784,298.1807423,83.74191418,35.8828596,10.66322136
86,6073003208,2395,1600,3,2.5,house,-117.0474,32.6806,0.27593,0.14871,14000US06073003208,438,6619,urban_area,0.383873257,-0.739966667,-0.079358105,-0.41724802,-0.058413858,0.098141424,0.340621716,-0.029579015,0.24468551,78.7,86.9,49.9,94.8,5.295471988,46.9,100,21.5,59.8,52.71889401,47939,0.272343829,100,4.6367551,63.63499018,67.00544194,22.59615385,38.04878049,100,83.59564165,50.65970467,0.04012721,11.21,17.91182474,250.564756,79.15120956,10.45141546,36.25095639
87,6073003304,1574,770,2,1,apartment,-117.094045,32.70635,0.229285,0.17446,14000US06073003304,141,3563,urban_area,0.386139809,-1.405896252,-1.713565974,-0.994026187,-1.764774866,0.114108447,0.158841884,-0.53151766,-1.118768389,58,57.2,31.4,77.4,17.14708056,11.8,84.8,5.5,56.8,28.14411965,33750,0.917642561,100,2.6178425,46.33735616,53.50109409,6.349206349,29.64539007,96.09756098,64.38275251,77.60006177,0.04012721,11.21,31.56,228.0675951,76.97654464,4.98853211,14.16284404
88,6073003304,1574,770,2,1,apartment,-117.094088,32.706495,0.229242,0.174605,14000US06073003304,142,3563,urban_area,0.386139809,-1.405896252,-1.713565974,-0.994026187,-1.764774866,0.114108447,0.158841884,-0.53151766,-1.118768389,58,57.2,31.4,77.4,17.14708056,11.8,84.8,5.5,56.8,28.14411965,33750,0.917642561,100,2.6178425,46.33735616,53.50109409,6.349206349,29.64539007,96.09756098,64.38275251,77.60006177,0.04012721,11.21,31.56,228.0675951,76.97654464,4.98853211,14.16284404
89,6073003304,1574,770,2,1,apartment,-117.094002,32.706296,0.229328,0.174406,14000US06073003304,388,3563,urban_area,0.386139809,-1.405896252,-1.713565974,-0.994026187,-1.764774866,0.114108447,0.158841884,-0.53151766,-1.118768389,58,57.2,31.4,77.4,17.14708056,11.8,84.8,5.5,56.8,28.14411965,33750,0.917642561,100,2.6178425,46.33735616,53.50109409,6.349206349,29.64539007,96.09756098,64.38275251,77.60006177,0.04012721,11.21,31.56,228.0675951,76.97654464,4.98853211,14.16284404
90,6073003304,1649,770,2,1,apartment,-117.094002,32.706151,0.229328,0.174261,14000US06073003304,521,3563,urban_area,0.386139809,-1.405896252,-1.713565974,-0.994026187,-1.764774866,0.114108447,0.158841884,-0.53151766,-1.118768389,58,57.2,31.4,77.4,17.14708056,11.8,84.8,5.5,56.8,28.14411965,33750,0.917642561,100,2.6178425,46.33735616,53.50109409,6.349206349,29.64539007,96.09756098,64.38275251,77.60006177,0.04012721,11.21,31.56,228.0675951,76.97654464,4.98853211,14.16284404
91,6073003304,1574,770,2,1,apartment,-117.094045,32.706278,0.229285,0.174388,14000US06073003304,701,3563,urban_area,0.386139809,-1.405896252,-1.713565974,-0.994026187,-1.764774866,0.114108447,0.158841884,-0.53151766,-1.118768389,58,57.2,31.4,77.4,17.14708056,11.8,84.8,5.5,56.8,28.14411965,33750,0.917642561,100,2.6178425,46.33735616,53.50109409,6.349206349,29.64539007,96.09756098,64.38275251,77.60006177,0.04012721,11.21,31.56,228.0675951,76.97654464,4.98853211,14.16284404
92,6073003304,1649,770,2,1,apartment,-117.093959,32.706296,0.229371,0.174406,14000US06073003304,1014,3563,urban_area,0.386139809,-1.405896252,-1.713565974,-0.994026187,-1.764774866,0.114108447,0.158841884,-0.53151766,-1.118768389,58,57.2,31.4,77.4,17.14708056,11.8,84.8,5.5,56.8,28.14411965,33750,0.917642561,100,2.6178425,46.33735616,53.50109409,6.349206349,29.64539007,96.09756098,64.38275251,77.60006177,0.04012721,11.21,31.56,228.0675951,76.97654464,4.98853211,14.16284404
93,6073003401,1795,1000,3,2,condo,-117.087602,32.71866,0.235728,0.18677,14000US06073003401,52,6065,urban_area,0.386324479,-0.573618707,-0.170638678,0.394595582,-0.379902164,0.141937915,0.203700932,-0.167214527,-0.398049089,74.8,94.8,59.6,94,3.156331229,38,100,22.7,59.1,61.52755906,52674,0.736788347,100,4.6635123,49.4641385,68.41451973,11.28404669,20.37037037,100,65.28098537,71.74430247,0.04012721,11.21,28.56354408,228.0675951,77.81963904,17.88983192,14.1787319
94,6073003401,1025,360,1,1,apartment,-117.087479,32.720577,0.235851,0.188687,14000US06073003401,89,6065,urban_area,0.386324479,-0.573618707,-0.170638678,0.394595582,-0.379902164,0.141937915,0.203700932,-0.167214527,-0.398049089,74.8,94.8,59.6,94,3.156331229,38,100,22.7,59.1,61.52755906,52674,0.736788347,100,4.6635123,49.4641385,68.41451973,11.28404669,20.37037037,100,65.28098537,71.74430247,0.04012721,11.21,28.56354408,228.0675951,77.81963904,17.88983192,14.1787319
95,6073003401,1025,360,1,1,apartment,-117.087479,32.720577,0.235851,0.188687,14000US06073003401,96,6065,urban_area,0.386324479,-0.573618707,-0.170638678,0.394595582,-0.379902164,0.141937915,0.203700932,-0.167214527,-0.398049089,74.8,94.8,59.6,94,3.156331229,38,100,22.7,59.1,61.52755906,52674,0.736788347,100,4.6635123,49.4641385,68.41451973,11.28404669,20.37037037,100,65.28098537,71.74430247,0.04012721,11.21,28.56354408,228.0675951,77.81963904,17.88983192,14.1787319
